episode,total_reward,epsilon,buffer_size,keep_ratio,next_ratio,traffic_N,traffic_S,traffic_E,traffic_W
383,-71.19,0.1466,50000,0.546,0.454,1022,1162,854,818
384,-54.22,0.1459,50000,0.565,0.435,1448,802,1005,970
385,-78.35,0.1452,50000,0.599,0.401,1383,972,1560,891
386,-76.46,0.1444,50000,0.593,0.407,1325,1095,1169,822
387,-86.84,0.1437,50000,0.61,0.39,1713,1602,1048,1163
388,-71.54,0.143,50000,0.603,0.397,1316,1120,975,853
389,-75.79,0.1423,50000,0.635,0.365,1425,1520,1431,1744
390,-81.84,0.1416,50000,0.625,0.375,1321,1717,917,1546
391,-79.56,0.1409,50000,0.635,0.365,1685,1792,1463,822
392,-76.17,0.1402,50000,0.614,0.386,1698,1047,1302,1581
393,-72.96,0.1395,50000,0.624,0.376,1558,1628,1568,1610
394,-88.73,0.1388,50000,0.611,0.389,1149,999,892,892
395,-95.55,0.1381,50000,0.579,0.421,1363,1603,1454,1125
396,-64.11,0.1374,50000,0.613,0.388,1691,1152,833,1711
397,-99.52,0.1367,50000,0.597,0.403,1398,1757,998,1688
398,-90.53,0.136,50000,0.614,0.386,1556,1074,999,980
399,-74.89,0.1353,50000,0.615,0.385,1782,1751,1329,909
400,-102.14,0.1347,50000,0.517,0.483,1518,810,1558,1540
401,-103.99,0.134,50000,0.604,0.396,1771,1265,852,1306
402,-102.91,0.1333,50000,0.529,0.471,1360,915,1558,833
403,-88.96,0.1326,50000,0.575,0.425,1231,1062,1241,1508
404,-84.77,0.132,50000,0.582,0.418,1254,1123,1154,1616
