episode,total_reward,epsilon,buffer_size,keep_ratio,next_ratio,traffic_N,traffic_S,traffic_E,traffic_W
180,-44.04,0.4057,50000,0.525,0.475,731,618,1080,932
181,-95.66,0.4036,50000,0.543,0.457,780,925,1186,964
182,-9.85,0.4016,50000,0.44,0.56,654,772,410,560
183,-45.11,0.3996,50000,0.557,0.443,961,574,339,1021
184,-18.26,0.3976,50000,0.597,0.403,321,812,834,313
185,-10.67,0.3956,50000,0.579,0.421,834,599,506,1089
186,-4.58,0.3936,50000,0.464,0.536,487,543,438,373
187,-40.41,0.3917,50000,0.519,0.481,682,831,623,759
188,-8.78,0.3897,50000,0.403,0.597,346,764,371,417
189,-51.16,0.3878,50000,0.6,0.4,1026,995,829,381
190,-42.96,0.3858,50000,0.489,0.511,1024,385,359,584
191,-62.08,0.3839,50000,0.589,0.411,1015,1127,723,423
192,-40.73,0.382,50000,0.561,0.439,724,760,598,864
193,-91.31,0.3801,50000,0.531,0.469,433,1090,1124,1129
194,-43.31,0.3782,50000,0.526,0.474,508,1113,367,965
195,-130.38,0.3763,50000,0.604,0.396,526,1146,971,728
196,-2.13,0.3744,50000,0.449,0.551,507,525,396,525
197,-17.48,0.3725,50000,0.457,0.543,509,607,732,913
198,-44.0,0.3707,50000,0.601,0.399,786,512,1053,387
199,-17.59,0.3688,50000,0.494,0.506,480,1052,569,626
200,-63.66,0.367,50000,0.553,0.447,525,1053,450,1040
201,-75.13,0.3651,50000,0.603,0.397,966,1139,665,936
202,-36.04,0.3633,50000,0.518,0.482,357,892,585,679
203,-42.35,0.3615,50000,0.589,0.411,530,1105,760,648
204,-51.57,0.3597,50000,0.489,0.511,565,310,1166,446
205,-33.84,0.3579,50000,0.492,0.508,850,485,625,1012
206,-34.18,0.3561,50000,0.542,0.458,308,586,1150,1165
207,-2.0,0.3543,50000,0.544,0.456,382,609,787,339
208,-53.5,0.3525,50000,0.55,0.45,534,686,1087,1010
209,-64.38,0.3508,50000,0.582,0.418,414,1091,1062,870
210,-77.81,0.349,50000,0.553,0.447,838,1115,993,914
211,-24.9,0.3473,50000,0.471,0.529,319,761,697,807
212,-7.73,0.3455,50000,0.5,0.5,892,524,381,493
213,-57.54,0.3438,50000,0.576,0.424,469,1180,460,1083
214,-66.58,0.3421,50000,0.438,0.562,996,378,479,1110
215,-34.55,0.3404,50000,0.476,0.524,878,365,587,696
216,-92.46,0.3387,50000,0.546,0.454,1043,972,557,1028
217,-16.31,0.337,50000,0.497,0.503,622,747,974,405
218,-52.75,0.3353,50000,0.581,0.419,474,1125,798,440
219,-2.18,0.3336,50000,0.522,0.478,765,359,502,518
220,-50.48,0.332,50000,0.562,0.438,976,1120,1013,694
221,-50.22,0.3303,50000,0.543,0.457,407,1142,475,964
222,-4.02,0.3286,50000,0.418,0.582,428,761,636,438
223,-49.7,0.327,50000,0.6,0.4,759,1140,604,1185
224,-56.79,0.3254,50000,0.5,0.5,1088,1013,479,663
225,-34.42,0.3237,50000,0.489,0.511,694,505,787,634
226,-84.25,0.3221,50000,0.487,0.512,890,712,712,689
227,-33.9,0.3205,50000,0.469,0.531,698,509,482,1065
228,-101.92,0.3189,50000,0.592,0.408,914,1123,1045,636
229,-32.72,0.3173,50000,0.446,0.554,731,575,852,503
230,-65.95,0.3157,50000,0.61,0.39,948,1194,890,467
231,-4.07,0.3141,50000,0.56,0.44,413,338,324,959
232,-10.17,0.3126,50000,0.368,0.632,823,740,612,342
233,-69.94,0.311,50000,0.471,0.529,1153,738,530,905
234,-75.98,0.3095,50000,0.55,0.45,879,312,843,900
235,-4.33,0.3079,50000,0.469,0.531,487,429,481,442
236,-29.56,0.3064,50000,0.599,0.401,470,310,601,959
237,-63.3,0.3048,50000,0.442,0.558,906,564,756,594
238,-73.59,0.3033,50000,0.526,0.474,1153,1175,381,1103
239,-61.4,0.3018,50000,0.504,0.496,445,756,907,329
240,-81.45,0.3003,50000,0.524,0.476,1003,823,1079,1054
241,-99.85,0.2988,50000,0.551,0.449,871,711,799,858
242,-41.51,0.2973,50000,0.471,0.529,593,926,309,750
243,-35.28,0.2958,50000,0.422,0.578,697,619,741,1134
244,-69.75,0.2943,50000,0.442,0.558,898,665,850,1056
245,-4.05,0.2929,50000,0.353,0.647,855,841,377,613
246,-87.93,0.2914,50000,0.533,0.467,927,751,999,1152
247,-40.36,0.2899,50000,0.482,0.518,886,504,915,530
248,-15.06,0.2885,50000,0.535,0.465,657,1052,582,451
249,-14.59,0.287,50000,0.503,0.497,1016,740,459,328
250,-34.29,0.2856,50000,0.429,0.571,665,390,472,871
251,-76.72,0.2842,50000,0.529,0.471,1148,1199,640,536
252,-21.48,0.2828,50000,0.472,0.528,434,404,1068,696
253,-4.7,0.2813,50000,0.578,0.422,381,373,549,436
254,-42.58,0.2799,50000,0.515,0.485,322,887,656,1079
255,-7.35,0.2785,50000,0.476,0.524,414,839,465,588
256,-93.06,0.2771,50000,0.465,0.535,1034,901,601,864
257,-3.3,0.2758,50000,0.551,0.449,315,420,808,799
258,-41.83,0.2744,50000,0.543,0.457,974,848,767,564
259,-70.6,0.273,50000,0.492,0.508,1038,760,896,1049
260,-65.78,0.2716,50000,0.576,0.424,1065,960,1159,380
261,-1.06,0.2703,50000,0.515,0.485,810,333,331,430
262,-9.46,0.2689,50000,0.453,0.547,737,520,792,817
263,-1.14,0.2676,50000,0.45,0.55,414,510,337,417
264,-86.02,0.2663,50000,0.436,0.564,1060,905,409,688
265,-74.43,0.2649,50000,0.501,0.499,1174,936,397,939
266,-4.84,0.2636,50000,0.487,0.512,677,761,759,415
267,-7.74,0.2623,50000,0.443,0.557,538,607,822,981
268,-4.52,0.261,50000,0.521,0.479,300,526,683,1014
269,-95.53,0.2597,50000,0.494,0.506,1097,1046,403,683
270,-34.14,0.2584,50000,0.572,0.428,445,1152,1172,401
271,-45.1,0.2571,50000,0.535,0.465,547,1094,899,313
272,-44.47,0.2558,50000,0.568,0.432,1049,430,580,796
273,-87.28,0.2545,50000,0.642,0.358,516,1066,1011,1199
274,-45.35,0.2532,50000,0.528,0.472,476,1160,929,495
275,-70.54,0.252,50000,0.439,0.561,1064,1158,477,1087
276,-72.98,0.2507,50000,0.499,0.501,1009,487,925,904
277,-45.86,0.2495,50000,0.553,0.447,924,801,910,596
278,-78.55,0.2482,50000,0.544,0.456,1018,795,1088,819
279,-70.31,0.247,50000,0.599,0.401,827,789,1131,720
280,-2.65,0.2457,50000,0.388,0.613,491,940,541,477
281,-44.59,0.2445,50000,0.635,0.365,1136,591,812,360
282,-50.27,0.2433,50000,0.518,0.482,697,882,1191,515
283,-53.67,0.2421,50000,0.501,0.499,685,538,1198,988
284,-33.98,0.2409,50000,0.543,0.457,720,763,1091,587
285,-93.86,0.2397,50000,0.429,0.571,1003,1175,463,646
286,-47.33,0.2385,50000,0.556,0.444,724,354,459,1067
287,-45.12,0.2373,50000,0.546,0.454,394,864,882,745
288,-60.77,0.2361,50000,0.435,0.565,373,818,362,866
289,-67.33,0.2349,50000,0.483,0.517,1124,1084,421,909
290,-80.95,0.2337,50000,0.482,0.518,1191,1170,1101,1171
291,-35.14,0.2326,50000,0.619,0.381,941,433,819,626
292,-61.0,0.2314,50000,0.483,0.517,1151,1119,536,873
293,-62.72,0.2302,50000,0.569,0.431,910,416,1057,929
294,-71.8,0.2291,50000,0.503,0.497,1199,984,439,1045
295,-39.26,0.2279,50000,0.575,0.425,1195,770,661,605
296,-20.43,0.2268,50000,0.531,0.469,718,487,1109,533
297,-50.13,0.2257,50000,0.483,0.517,849,846,1187,681
298,-57.96,0.2245,50000,0.532,0.468,725,945,1015,750
299,-56.7,0.2234,50000,0.443,0.557,988,912,808,1174
300,-23.13,0.2223,50000,0.517,0.483,1044,722,562,521
301,-19.78,0.2212,50000,0.547,0.453,576,468,575,1166
302,-35.66,0.2201,50000,0.492,0.508,680,425,958,1147
303,-38.51,0.219,50000,0.625,0.375,1120,679,1019,433
304,-11.0,0.2179,50000,0.675,0.325,336,391,1141,339
305,-16.4,0.2168,50000,0.569,0.431,431,491,511,1126
306,-2.17,0.2157,50000,0.506,0.494,572,635,689,740
307,-52.9,0.2146,50000,0.481,0.519,334,822,423,970
308,-60.72,0.2136,50000,0.572,0.428,781,1027,668,1065
309,-48.26,0.2125,50000,0.533,0.467,1167,958,306,897
310,-16.85,0.2114,50000,0.556,0.444,653,401,1012,809
311,-9.6,0.2104,50000,0.564,0.436,529,634,744,870
312,-15.95,0.2093,50000,0.597,0.403,522,927,448,455
313,-7.37,0.2083,50000,0.475,0.525,846,810,520,713
314,-6.62,0.2072,50000,0.571,0.429,554,1140,302,468
315,-44.82,0.2062,50000,0.565,0.435,350,1165,890,424
316,-9.27,0.2052,50000,0.59,0.41,627,442,990,715
317,-64.86,0.2041,50000,0.581,0.419,785,586,1099,1049
318,-2.06,0.2031,50000,0.456,0.544,542,401,338,700
319,-20.3,0.2021,50000,0.614,0.386,1111,453,536,926
320,-9.65,0.2011,50000,0.508,0.492,544,646,477,547
321,-57.13,0.2001,50000,0.604,0.396,768,1100,1187,380
322,-32.09,0.1991,50000,0.676,0.324,353,1044,349,1170
323,-29.64,0.1981,50000,0.482,0.518,779,813,368,1129
324,-41.02,0.1971,50000,0.468,0.532,974,914,375,695
325,-54.39,0.1961,50000,0.656,0.344,932,1042,859,818
326,-1.63,0.1951,50000,0.688,0.312,400,356,1014,324
327,-43.62,0.1942,50000,0.64,0.36,1139,301,1067,567
328,-36.9,0.1932,50000,0.565,0.435,394,912,1100,630
329,-51.72,0.1922,50000,0.494,0.506,795,932,609,770
330,-87.02,0.1913,50000,0.582,0.418,1099,1118,1076,310
331,-18.09,0.1903,50000,0.546,0.454,911,913,346,795
332,-12.56,0.1893,50000,0.568,0.432,1122,840,373,378
333,-5.2,0.1884,50000,0.481,0.519,679,679,548,486
334,-39.81,0.1875,50000,0.608,0.392,506,945,431,941
335,-56.01,0.1865,50000,0.494,0.506,956,900,363,1113
336,-1.77,0.1856,50000,0.393,0.607,662,464,327,650
337,-23.77,0.1847,50000,0.496,0.504,1136,1104,576,556
338,-66.99,0.1837,50000,0.618,0.382,555,1143,855,756
339,-58.83,0.1828,50000,0.571,0.429,946,1033,779,387
340,-23.61,0.1819,50000,0.535,0.465,575,687,904,1010
341,-56.87,0.181,50000,0.654,0.346,806,846,1172,990
342,-18.04,0.1801,50000,0.528,0.472,891,586,761,480
343,-28.21,0.1792,50000,0.625,0.375,625,1034,435,1185
344,-4.68,0.1783,50000,0.443,0.557,434,752,663,340
345,-12.03,0.1774,50000,0.471,0.529,302,342,530,994
346,-48.7,0.1765,50000,0.654,0.346,1058,395,423,1168
347,-44.96,0.1756,50000,0.61,0.39,519,1197,1057,556
348,-61.55,0.1748,50000,0.575,0.425,703,807,1010,1057
349,-26.87,0.1739,50000,0.449,0.551,567,482,1154,1126
350,-15.68,0.173,50000,0.519,0.481,524,309,937,1160
351,-21.91,0.1721,50000,0.56,0.44,669,526,1097,445
352,-30.12,0.1713,50000,0.454,0.546,659,692,573,1126
353,-17.96,0.1704,50000,0.685,0.315,485,953,323,863
354,-28.69,0.1696,50000,0.618,0.382,654,862,1074,831
355,-37.92,0.1687,50000,0.631,0.369,354,1080,399,1178
356,-5.99,0.1679,50000,0.457,0.543,841,347,777,450
357,-105.09,0.167,50000,0.694,0.306,900,1028,759,997
358,-33.71,0.1662,50000,0.629,0.371,1034,357,927,594
359,-24.85,0.1654,50000,0.569,0.431,1161,964,629,802
360,-21.56,0.1646,50000,0.519,0.481,336,612,625,1070
361,-25.55,0.1637,50000,0.647,0.353,1083,314,885,670
362,-20.46,0.1629,50000,0.593,0.407,457,609,1078,430
363,-35.67,0.1621,50000,0.338,0.662,392,317,922,960
364,-45.1,0.1613,50000,0.651,0.349,949,451,1144,860
365,-26.05,0.1605,50000,0.599,0.401,1085,735,315,876
366,-51.64,0.1597,50000,0.507,0.493,682,696,1084,968
367,-14.34,0.1589,50000,0.556,0.444,1134,816,475,395
368,-16.02,0.1581,50000,0.54,0.46,593,473,485,1098
369,-22.99,0.1573,50000,0.654,0.346,1133,518,864,808
370,-31.07,0.1565,50000,0.515,0.485,688,704,1038,916
371,-32.38,0.1557,50000,0.442,0.558,1151,1004,602,443
372,-60.34,0.1549,50000,0.574,0.426,523,962,479,823
373,-37.4,0.1542,50000,0.514,0.486,357,1131,388,823
374,-26.46,0.1534,50000,0.51,0.49,438,739,667,1117
375,-48.61,0.1526,50000,0.625,0.375,1185,463,723,1113
376,-45.27,0.1519,50000,0.651,0.349,890,361,862,390
377,-34.35,0.1511,50000,0.594,0.406,1106,457,497,629
378,-30.56,0.1504,50000,0.394,0.606,324,1192,543,485
379,-41.41,0.1496,50000,0.544,0.456,1178,441,305,879
380,-42.55,0.1489,50000,0.569,0.431,651,1033,765,533
381,-22.35,0.1481,50000,0.59,0.41,474,390,792,918
382,-38.94,0.1474,50000,0.526,0.474,703,836,1152,923
383,-60.73,0.1466,50000,0.649,0.351,871,400,964,465
384,-2.55,0.1459,50000,0.49,0.51,399,708,391,344
385,-45.26,0.1452,50000,0.665,0.335,1067,384,809,778
386,-1.25,0.1444,50000,0.478,0.522,529,623,504,373
