episode,total_reward,epsilon,buffer_size
483,-1940.0,0.0888,50000
484,-67.26,0.0884,50000
485,-1882.83,0.0879,50000
486,-1920.0,0.0875,50000
487,-44.97,0.0871,50000
488,-1865.82,0.0866,50000
489,-1811.0,0.0862,50000
490,-1860.0,0.0858,50000
491,-1870.0,0.0853,50000
492,-1890.0,0.0849,50000
493,-1920.0,0.0845,50000
494,-1890.0,0.0841,50000
495,-1970.0,0.0836,50000
496,-1940.0,0.0832,50000
497,-1910.0,0.0828,50000
498,-1930.0,0.0824,50000
499,-1880.0,0.082,50000
500,-1920.0,0.0816,50000
501,-1960.0,0.0812,50000
502,-1910.0,0.0808,50000
503,-1880.0,0.0804,50000
504,-1970.0,0.08,50000
505,-1930.0,0.0796,50000
506,-1910.0,0.0792,50000
507,-1870.0,0.0788,50000
508,-1930.0,0.0784,50000
509,-1890.0,0.078,50000
510,-1960.0,0.0776,50000
511,-1930.0,0.0772,50000
512,-1960.0,0.0768,50000
513,-1900.0,0.0764,50000
514,-1930.0,0.076,50000
515,-1910.0,0.0757,50000
516,-1900.0,0.0753,50000
517,-1880.0,0.0749,50000
518,-1900.0,0.0745,50000
519,-1920.0,0.0742,50000
520,-1910.0,0.0738,50000
521,-1910.0,0.0734,50000
522,-1940.0,0.0731,50000
523,-1920.0,0.0727,50000
524,-1880.0,0.0723,50000
525,-1940.0,0.072,50000
526,-1910.0,0.0716,50000
527,-1880.0,0.0712,50000
528,-1950.0,0.0709,50000
529,-1920.0,0.0705,50000
530,-1900.0,0.0702,50000
531,-1979.99,0.0698,50000
532,-1890.0,0.0695,50000
533,-1920.0,0.0691,50000
534,-1840.0,0.0688,50000
535,-1920.0,0.0684,50000
536,-1910.0,0.0681,50000
537,-1990.0,0.0678,50000
538,-1970.0,0.0674,50000
539,-1920.0,0.0671,50000
540,-2000.0,0.0668,50000
541,-1950.0,0.0664,50000
542,-1910.0,0.0661,50000
543,-1920.0,0.0658,50000
544,-1920.0,0.0654,50000
545,-1950.0,0.0651,50000
546,-1910.0,0.0648,50000
501,-1910.0,0.0812,720
